Thread-Name,x,y,time,IsPotential
Thread-0,261,16,1,false
Thread-1,217,234,1,false
Thread-2,149,20,1,false
Thread-3,260,85,1,false
Thread-4,45,204,1,false
Thread-5,136,59,1,false
Thread-6,159,265,1,false
Thread-7,168,241,1,false
Thread-8,183,263,1,false
Thread-9,241,199,1,false
Thread-10,36,64,1,false
Thread-11,222,164,1,false
Thread-12,65,27,1,false
Thread-13,174,14,1,false
Thread-15,126,213,1,false
Thread-16,7,74,1,false
Thread-17,237,101,1,false
Thread-18,181,147,1,false
Thread-19,99,177,1,false
Thread-20,99,234,1,false
Thread-21,116,144,1,false
Thread-22,120,220,1,false
Thread-23,245,52,1,false
Thread-24,245,236,1,false
Thread-25,62,85,1,false
Thread-26,238,138,1,false
Thread-27,109,97,1,false
Thread-28,34,224,1,false
Thread-30,153,68,1,false
Thread-31,26,259,1,false
Thread-0,271,6,2,false
Thread-1,227,244,2,false
Thread-2,149,20,2,false
Thread-3,270,75,2,false
Thread-4,35,194,2,false
Thread-5,146,69,2,false
Thread-6,169,255,2,false
Thread-7,178,231,2,false
Thread-8,173,263,2,false
Thread-9,231,199,2,false
Thread-10,36,44,2,false
Thread-11,242,144,2,false
Thread-12,65,17,2,false
Thread-13,164,4,2,false
Thread-15,136,203,2,false
Thread-16,7,74,2,false
Thread-17,227,101,2,false
Thread-18,201,127,2,false
Thread-19,119,157,2,false
Thread-20,99,234,2,false
Thread-21,136,124,2,false
Thread-22,130,230,2,false
Thread-23,255,52,2,false
Thread-24,255,246,2,false
Thread-25,62,95,2,false
Thread-26,238,138,2,false
Thread-27,89,117,2,false
Thread-28,54,204,2,false
Thread-30,163,78,2,false
Thread-31,36,249,2,false
Thread-0,271,6,3,false
Thread-1,217,244,3,false
Thread-2,149,10,3,false
Thread-3,270,65,3,false
Thread-4,25,204,3,false
Thread-5,136,79,3,false
Thread-6,149,255,3,false
Thread-7,188,231,3,false
Thread-8,183,253,3,false
Thread-9,251,179,3,false
Thread-10,26,54,3,false
Thread-11,232,154,3,false
Thread-12,55,27,3,false
Thread-13,164,4,3,false
Thread-15,146,193,3,false
Thread-16,17,74,3,false
Thread-17,237,91,3,false
Thread-18,191,127,3,false
Thread-19,119,157,3,false
Thread-20,79,214,3,false
Thread-21,126,124,3,false
Thread-22,130,240,3,false
Thread-23,235,52,3,false
Thread-24,255,246,3,false
Thread-25,52,85,3,false
Thread-26,238,128,3,false
Thread-27,79,127,3,false
Thread-28,54,204,3,false
Thread-30,173,88,3,false
Thread-31,16,249,3,false
Thread-0,271,6,4,false
Thread-1,207,244,4,false
Thread-2,149,0,4,false
Thread-3,270,55,4,false
Thread-4,15,204,4,false
Thread-5,136,89,4,false
Thread-6,149,255,4,false
Thread-7,178,221,4,false
Thread-8,173,263,4,false
Thread-9,251,169,4,false
Thread-10,26,54,4,false
Thread-11,232,144,4,false
Thread-12,65,27,4,false
Thread-13,164,14,4,false
Thread-15,156,183,4,false
Thread-16,17,84,4,false
Thread-17,227,81,4,false
Thread-18,181,117,4,false
Thread-19,119,177,4,false
Thread-20,79,214,4,false
Thread-21,136,134,4,false
Thread-22,140,230,4,false
Thread-23,235,42,4,false
Thread-24,275,226,4,false
Thread-25,42,75,4,false
Thread-26,218,128,4,false
Thread-27,79,127,4,false
Thread-28,44,204,4,false
Thread-30,183,88,4,false
Thread-31,6,249,4,false
Thread-0,271,6,5,false
Thread-1,217,244,5,false
Thread-2,149,0,5,false
Thread-3,290,55,5,false
Thread-4,15,224,5,false
Thread-5,146,79,5,false
Thread-6,149,275,5,false
Thread-7,168,221,5,false
Thread-8,163,263,5,false
Thread-9,261,159,5,false
Thread-10,16,44,5,false
Thread-11,252,144,5,false
Thread-12,75,37,5,false
Thread-13,164,4,5,false
Thread-15,146,193,5,false
Thread-16,17,104,5,false
Thread-17,227,81,5,false
Thread-18,171,127,5,false
Thread-19,119,177,5,false
Thread-20,69,214,5,false
Thread-21,146,134,5,false
Thread-22,140,230,5,false
Thread-23,255,62,5,false
Thread-24,285,226,5,false
Thread-25,42,75,5,false
Thread-26,228,138,5,false
Thread-27,59,147,5,false
Thread-28,54,214,5,false
Thread-30,173,98,5,false
Thread-31,6,249,5,false
Thread-0,261,6,6,false
Thread-1,217,244,6,false
Thread-2,149,0,6,false
Thread-3,290,55,6,false
Thread-4,15,214,6,false
Thread-5,146,89,6,false
Thread-6,139,275,6,false
Thread-7,178,211,6,false
Thread-8,163,273,6,false
Thread-9,251,169,6,false
Thread-10,26,54,6,false
Thread-11,262,134,6,false
Thread-12,75,37,6,false
Thread-13,154,4,6,true
Thread-15,156,203,6,false
Thread-16,7,104,6,false
Thread-17,217,81,6,false
Thread-18,181,137,6,false
Thread-19,109,177,6,false
Thread-20,79,214,6,false
Thread-21,146,154,6,false
Thread-22,140,240,6,false
Thread-23,255,62,6,false
Thread-24,285,236,6,false
Thread-25,52,65,6,false
Thread-26,218,138,6,false
Thread-27,59,137,6,false
Thread-28,54,204,6,false
Thread-30,173,88,6,false
Thread-31,16,259,6,false
Thread-0,251,6,7,false
Thread-1,217,234,7,false
Thread-2,149,0,7,false
Thread-3,290,75,7,false
Thread-4,15,224,7,false
Thread-5,156,89,7,false
Thread-6,149,265,7,false
Thread-7,188,211,7,false
Thread-8,153,263,7,false
Thread-9,261,169,7,false
Thread-10,16,54,7,false
Thread-11,252,124,7,false
